iter	Passed	Remaining
308	2161	4834
309	2168	4826
310	2175	4819
311	2182	4812
312	2189	4805
313	2196	4797
314	2202	4790
315	2209	4783
316	2216	4776
317	2223	4768
318	2230	4761
319	2237	4754
320	2243	4746
321	2250	4739
322	2257	4731
323	2264	4724
324	2271	4717
325	2278	4710
326	2285	4703
327	2292	4695
328	2298	4688
329	2305	4681
330	2312	4673
331	2319	4666
332	2326	4659
333	2333	4652
334	2340	4645
335	2346	4637
336	2353	4630
337	2360	4622
338	2367	4615
339	2373	4608
340	2380	4600
341	2387	4593
342	2394	4586
343	2401	4579
344	2408	4571
345	2414	4564
346	2421	4557
347	2428	4549
348	2435	4542
349	2441	4534
350	2448	4527
351	2455	4520
352	2462	4512
353	2469	4505
354	2475	4498
355	2482	4491
356	2489	4483
357	2496	4476
358	2503	4469
359	2509	4461
360	2516	4454
361	2523	4447
362	2530	4440
363	2537	4432
364	2543	4425
365	2550	4418
366	2557	4410
367	2564	4404
368	2571	4396
369	2577	4389
370	2584	4382
371	2591	4374
372	2598	4367
373	2605	4360
374	2612	4353
375	2618	4346
376	2625	4338
377	2632	4331
378	2639	4324
379	2646	4317
380	2652	4310
381	2659	4302
382	2666	4295
383	2673	4288
384	2680	4281
385	2686	4273
386	2693	4266
387	2700	4259
388	2707	4252
389	2713	4244
390	2720	4237
391	2727	4230
392	2734	4223
393	2741	4216
394	2748	4209
395	2755	4202
396	2762	4195
397	2768	4188
398	2775	4180
399	2782	4173
400	2789	4166
401	2795	4159
402	2802	4151
403	2809	4144
404	2816	4137
405	2823	4130
406	2829	4123
407	2836	4116
408	2843	4108
409	2850	4101
410	2857	4094
411	2863	4087
412	2870	4080
413	2877	4073
414	2884	4066
415	2891	4059
416	2898	4051
417	2905	4044
418	2911	4037
419	2918	4030
420	2925	4023
421	2932	4016
422	2939	4009
423	2946	4002
424	2952	3995
425	2959	3987
426	2966	3980
427	2973	3973
428	2980	3966
429	2986	3959
430	2993	3951
431	3000	3944
432	3006	3937
433	3013	3930
434	3020	3922
435	3027	3915
436	3033	3908
437	3040	3901
438	3047	3894
439	3054	3887
440	3060	3879
441	3067	3872
442	3074	3865
443	3081	3858
444	3088	3851
445	3094	3844
446	3101	3837
447	3108	3829
448	3115	3822
449	3121	3815
450	3128	3808
451	3135	3801
452	3142	3794
453	3148	3787
454	3155	3780
455	3162	3772
456	3169	3765
457	3175	3758
458	3182	3751
459	3189	3744
460	3196	3736
461	3202	3729
462	3209	3722
463	3216	3715
464	3223	3708
465	3230	3701
466	3236	3694
467	3243	3687
468	3250	3680
469	3257	3673
470	3264	3666
471	3271	3659
472	3277	3652
473	3284	3645
474	3291	3638
475	3298	3631
476	3305	3624
477	3312	3617
478	3319	3610
479	3326	3603
480	3332	3596
481	3339	3589
482	3346	3582
483	3353	3575
484	3360	3568
485	3367	3561
486	3373	3554
487	3380	3547
488	3387	3540
489	3394	3532
490	3401	3525
491	3408	3518
492	3414	3511
493	3421	3504
494	3428	3497
495	3435	3490
496	3442	3483
497	3449	3476
498	3455	3469
499	3462	3462
500	3469	3455
501	3476	3448
502	3483	3441
503	3490	3435
504	3497	3427
505	3503	3420
506	3510	3413
507	3517	3406
508	3524	3399
509	3531	3392
510	3538	3385
511	3545	3378
512	3552	3371
513	3558	3364
514	3565	3358
515	3572	3351
516	3579	3344
517	3586	3337
518	3593	3330
519	3600	3323
520	3607	3316
521	3613	3309
522	3620	3302
523	3627	3295
524	3634	3288
525	3641	3281
526	3648	3274
527	3655	3267
528	3662	3260
529	3669	3253
530	3676	3246
531	3682	3239
532	3689	3232
533	3696	3225
534	3703	3218
535	3710	3211
536	3717	3204
537	3724	3197
538	3730	3190
539	3737	3183
540	3744	3177
541	3751	3170
542	3758	3163
543	3765	3156
544	3771	3149
545	3778	3142
546	3785	3135
547	3792	3128
548	3799	3121
549	3806	3114
550	3812	3107
551	3819	3100
552	3826	3093
553	3833	3086
554	3840	3079
555	3847	3072
556	3854	3065
557	3860	3058
558	3867	3051
559	3874	3044
560	3881	3037
561	3888	3030
562	3895	3023
563	3902	3016
564	3908	3009
565	3915	3002
566	3922	2995
567	3929	2988
568	3936	2981
569	3943	2974
570	3949	2967
571	3956	2960
572	3963	2953
573	3970	2946
574	3977	2939
575	3983	2932
576	3990	2925
577	3997	2918
578	4004	2911
579	4011	2904
580	4018	2897
581	4024	2890
582	4031	2883
583	4038	2876
584	4045	2870
585	4052	2863
586	4059	2856
587	4066	2849
588	4073	2842
589	4080	2835
590	4087	2828
591	4093	2821
592	4100	2814
593	4107	2807
594	4114	2800
595	4121	2793
596	4128	2786
597	4135	2779
598	4141	2772
599	4148	2765
600	4155	2759
601	4162	2752
602	4169	2745
603	4176	2738
604	4183	2731
605	4190	2724
606	4196	2717
607	4203	2710
608	4210	2703
609	4217	2696
610	4224	2689
611	4231	2682
612	4238	2675
613	4244	2668
614	4251	2661
615	4258	2654
616	4265	2648
617	4272	2641
618	4279	2634
619	4286	2627
620	4293	2620
621	4300	2613
622	4307	2606
623	4313	2599
624	4320	2592
625	4327	2585
626	4334	2578
627	4341	2571
628	4348	2564
629	4354	2557
630	4361	2550
631	4368	2543
632	4375	2536
633	4382	2529
634	4388	2522
635	4395	2515
636	4402	2508
637	4409	2502
638	4416	2495
639	4423	2488
640	4430	2481
641	4437	2474
642	4443	2467
643	4450	2460
644	4457	2453
645	4464	2446
646	4471	2439
647	4478	2432
648	4485	2425
649	4492	2418
650	4498	2411
651	4505	2404
652	4512	2398
653	4519	2391
654	4526	2384
655	4533	2377
656	4540	2370
657	4547	2363
658	4553	2356
659	4560	2349
660	4567	2342
661	4574	2335
662	4581	2328
663	4588	2321
664	4595	2314
665	4602	2307
666	4608	2301
667	4615	2293
668	4622	2287
669	4629	2280
670	4636	2273
671	4643	2266
672	4650	2259
673	4656	2252
674	4663	2245
675	4670	2238
676	4677	2231
677	4684	2224
678	4691	2217
679	4698	2210
680	4704	2203
681	4711	2196
682	4718	2190
683	4725	2183
684	4732	2176
685	4739	2169
686	4746	2162
687	4753	2155
688	4759	2148
689	4766	2141
690	4773	2134
691	4780	2127
692	4787	2120
693	4794	2113
694	4801	2106
695	4807	2100
696	4814	2093
697	4821	2086
698	4828	2079
699	4835	2072
700	4842	2065
701	4849	2058
702	4855	2051
703	4862	2044
704	4869	2037
705	4876	2030
706	4883	2023
707	4889	2016
708	4896	2009
709	4903	2002
710	4910	1995
711	4917	1989
712	4924	1982
713	4931	1975
714	4937	1968
715	4944	1961
716	4951	1954
717	4958	1947
718	4965	1940
719	4972	1933
720	4979	1926
721	4985	1919
722	4992	1912
723	4999	1905
724	5006	1899
725	5013	1892
726	5020	1885
727	5027	1878
728	5033	1871
729	5040	1864
730	5047	1857
731	5054	1850
732	5061	1843
733	5068	1836
734	5075	1829
735	5082	1822
736	5088	1816
737	5095	1809
738	5102	1802
739	5109	1795
740	5116	1788
741	5123	1781
742	5130	1774
743	5136	1767
744	5143	1760
745	5150	1753
746	5157	1746
747	5164	1739
748	5171	1733
749	5178	1726
750	5185	1719
751	5192	1712
752	5198	1705
753	5205	1698
754	5212	1691
755	5219	1684
756	5226	1677
757	5233	1670
758	5240	1663
759	5247	1656
760	5253	1650
761	5260	1643
762	5267	1636
763	5274	1629
764	5281	1622
765	5288	1615
766	5295	1608
767	5302	1601
768	5308	1594
769	5315	1587
770	5322	1580
771	5329	1574
772	5336	1567
773	5343	1560
774	5350	1553
775	5357	1546
776	5363	1539
777	5370	1532
778	5377	1525
779	5384	1518
780	5391	1511
781	5398	1504
782	5404	1497
783	5411	1490
784	5418	1484
785	5425	1477
786	5432	1470
787	5439	1463
788	5446	1456
789	5453	1449
790	5459	1442
791	5466	1435
792	5473	1428
793	5480	1421
794	5487	1415
795	5495	1408
796	5502	1401
797	5508	1394
798	5515	1387
799	5522	1380
800	5529	1373
801	5536	1366
802	5543	1359
803	5550	1352
804	5556	1346
805	5563	1339
806	5570	1332
807	5577	1325
808	5584	1318
809	5591	1311
810	5598	1304
811	5605	1297
812	5612	1290
813	5619	1283
814	5625	1277
815	5632	1270
816	5639	1263
817	5646	1256
818	5653	1249
819	5660	1242
820	5667	1235
821	5674	1228
822	5681	1221
823	5687	1214
824	5694	1207
825	5701	1201
826	5708	1194
827	5715	1187
828	5722	1180
829	5729	1173
830	5736	1166
831	5742	1159
832	5749	1152
833	5756	1145
834	5763	1138
835	5770	1132
836	5777	1125
837	5784	1118
838	5791	1111
839	5797	1104
840	5804	1097
841	5811	1090
842	5818	1083
843	5825	1076
844	5832	1069
845	5839	1062
846	5845	1056
847	5852	1049
848	5859	1042
849	5866	1035
850	5873	1028
851	5880	1021
852	5887	1014
853	5894	1007
854	5901	1000
855	5907	993
856	5914	986
857	5921	980
858	5928	973
859	5935	966
860	5941	959
861	5948	952
862	5955	945
863	5962	938
864	5969	931
865	5976	924
866	5983	917
867	5989	910
868	5996	904
869	6003	897
870	6010	890
871	6017	883
872	6024	876
873	6030	869
874	6037	862
875	6044	855
876	6051	848
877	6058	841
878	6065	834
879	6072	828
880	6079	821
881	6085	814
882	6092	807
883	6099	800
884	6106	793
885	6113	786
886	6120	779
887	6127	772
888	6133	765
889	6140	758
890	6147	752
891	6154	745
892	6161	738
893	6168	731
894	6174	724
895	6181	717
896	6188	710
897	6195	703
898	6202	696
899	6209	689
900	6215	683
901	6222	676
902	6229	669
903	6236	662
904	6243	655
905	6250	648
906	6257	641
907	6264	634
908	6270	627
909	6277	620
910	6284	613
911	6291	607
912	6298	600
913	6305	593
914	6312	586
915	6318	579
916	6325	572
917	6332	565
918	6339	558
919	6346	551
920	6353	544
921	6360	538
922	6367	531
923	6374	524
924	6380	517
925	6387	510
926	6394	503
927	6401	496
928	6408	489
929	6415	482
930	6421	475
931	6428	469
932	6435	462
933	6442	455
934	6449	448
935	6456	441
936	6463	434
937	6470	427
938	6476	420
939	6483	413
940	6490	406
941	6497	400
942	6504	393
943	6511	386
944	6518	379
945	6524	372
946	6531	365
947	6538	358
948	6545	351
949	6552	344
950	6558	337
951	6565	331
952	6572	324
953	6579	317
954	6586	310
955	6593	303
956	6600	296
957	6606	289
958	6613	282
959	6620	275
960	6627	268
961	6634	262
962	6641	255
963	6647	248
964	6654	241
965	6661	234
966	6668	227
967	6675	220
968	6681	213
969	6688	206
970	6695	199
971	6702	193
972	6709	186
973	6716	179
974	6723	172
975	6730	165
976	6737	158
977	6743	151
978	6750	144
979	6757	137
980	6764	131
981	6771	124
982	6778	117
983	6785	110
984	6791	103
985	6798	96
986	6805	89
987	6812	82
988	6819	75
989	6826	68
990	6833	62
991	6839	55
992	6846	48
993	6853	41
994	6860	34
995	6867	27
996	6874	20
997	6881	13
998	6888	6
999	6895	0
